1955-56,Real Madrid,4–3,Reims,Parc des Princes,Paris,France,38,239
1956-57,Real Madrid,2–0,Fiorentina,Santiago Bernabéu, Madrid, Spain	124,000
1957-58,Real Madrid,3–2,Milan,Heysel Stadium, Brussels, Belgium	67,000
1958-59,Real Madrid,2–0,Reims,Neckarstadion, Stuttgart, West Germany	72,000
1959-60,Real Madrid,7–3,Eintracht Frankfurt,Hampden Park, Glasgow, Scotland	127,621
1960-61,Benfica,3–2,Barcelona,Wankdorf Stadium, Bern, Switzerland	26,732
1961-62,Benfica,5–3,Real Madrid,Olympisch Stadion, Amsterdam, Netherlands	61,257
1962-63,Milan,2–1,Benfica,Wembley Stadium, London, England	45,715
1963-64,Inter Milan,3–1,Real Madrid,Praterstadion, Vienna, Austria	71,333
1964-65,Inter Milan,1–0,Benfica,San Siro, Milan, Italy	89,000
1965-66,Real Madrid,2–1,Partizan,Heysel Stadium, Brussels, Belgium	46,745
1966-67,Celtic,2–1,Inter Milan,Estádio Nacional, Lisbon, Portugal	45,000
1967-68,Manchester United,4–1,Benfica,Wembley Stadium, London, England	92,225
1968-69,Milan,4–1,Ajax,Santiago Bernabéu, Madrid, Spain	31,782
1969-70,Feyenoord,2–1,Celtic,San Siro, Milan, Italy	53,187
1970-71,Ajax,2–0,Panathinaikos,Wembley Stadium, London, England	83,179
1971-72,Ajax,2–0,Inter Milan,De Kuip, Rotterdam, Netherlands	61,354
1972-73,Ajax,1–0,Juventus,Red Star Stadium, Belgrade, SFR Yugoslavia	89,484
1973-74,Bayern Munich,4–0,Atlético Madrid,Heysel Stadium, Brussels, Belgium	72,047
1974-75,Bayern Munich,2–0,Leeds United,Parc des Princes, Paris, France	48,374
1975-76,Bayern Munich,1–0,Saint-Étienne,Hampden Park, Glasgow, Scotland	54,864
1976-77,Liverpool,3–1,Borussia Mönchengladbach,Stadio Olimpico, Rome, Italy	57,000
1977-78,Liverpool,1–0,Club Brugge,Wembley Stadium, London, England	92,500
1978-79,Nottingham Forest,1–0,Malmö FF,Olympiastadion, Munich, West Germany	57,500
1979-80,Nottingham Forest,1–0,Hamburger SV,Santiago Bernabéu, Madrid, Spain	51,000
1980-81,Liverpool,1–0,Real Madrid,Parc des Princes, Paris, France	48,360
1981-82,Aston Villa,1–0,Bayern Munich,De Kuip, Rotterdam, Netherlands	46,000
1982-83,Hamburger SV,1–0,Juventus,Olympic Stadium, Athens, Greece	73,500
1983-84,Liverpool,1–1,Roma,Stadio Olimpico, Rome, Italy	69,693
1984-85,Juventus,1–0,Liverpool,Heysel Stadium, Brussels, Belgium	58,000
1985-86,Steaua București,0–0,Barcelona,Ramón Sánchez Pizjuán, Seville, Spain	70,000
1986-87,Porto,2–1,Bayern Munich,Praterstadion, Vienna, Austria	57,500
1987-88,PSV Eindhoven,0–0,Benfica,Neckarstadion, Stuttgart, West Germany	68,000
1988-89,Milan,4–0,Steaua București,Camp Nou, Barcelona, Spain	97,000
1989-90,Milan,1–0,Benfica,Praterstadion, Vienna, Austria	57,558
1990-91,Red Star Belgrade,0–0,Marseille,Stadio San Nicola, Bari, Italy	56,000
1991-92,Barcelona,1–0,Sampdoria,Wembley Stadium, London, England	70,827
1992-93,Marseille,1–0,Milan,Olympiastadion, Munich, Germany	64,400
1993-94,Milan,4–0,Barcelona,Olympic Stadium, Athens, Greece	70,000
1994-95,Ajax,1–0,Milan,Ernst-Happel-Stadion, Vienna, Austria	49,730
1995-96,Juventus,1–1,Ajax,Stadio Olimpico, Rome, Italy	70,000
1996-97,Borussia Dortmund,3–1,Juventus,Olympiastadion, Munich, Germany	59,000
1997-98,Real Madrid,1–0,Juventus,Amsterdam Arena, Amsterdam, Netherlands	48,500
1998-99,Manchester United,2–1,Bayern Munich,Camp Nou, Barcelona, Spain	90,245
1999-2000,Real Madrid,3–0,Valencia,Stade de France, Saint-Denis, France	80,000
2000-01,Bayern Munich,1–1,Valencia,San Siro, Milan, Italy	71,500
2001-02,Real Madrid,2–1,Bayer Leverkusen,Hampden Park, Glasgow, Scotland	50,499
2002-03,Milan,0–0,Juventus,Old Trafford, Manchester, England	62,315
2003-04,Porto,3–0,Monaco,Arena AufSchalke,Gelsenkirchen, Germany	53,053
2004-05,Liverpool,3–3,Milan,Atatürk Olympic Stadium, Istanbul, Turkey	69,000
2005-06,Barcelona,2–1,Arsenal,Stade de France, Saint-Denis, France	79,610
2006-07,Milan,2–1,Liverpool,Olympic Stadium, Athens, Greece	63,000
2007-08,Manchester United,1–1,Chelsea,Luzhniki Stadium, Moscow, Russia	67,310
2008-09,Barcelona,2–0,Manchester United,Stadio Olimpico, Rome, Italy	62,467
2009-10,Inter Milan,2–0,Bayern Munich,Santiago Bernabéu, Madrid, Spain	73,490
2010-11,Barcelona,3–1,Manchester United,Wembley Stadium, London, England	87,695
2011-12,Chelsea,1–1,Bayern Munich,Allianz Arena, Munich, Germany	62,500
2012-13,Bayern Munich,2–1,Borussia Dortmund,Wembley Stadium, London, England	86,298
2013-14,Real Madrid,4–1,Atlético Madrid,Estádio da Luz, Lisbon, Portugal	60,976
2014-15,Barcelona,3–1,Juventus Olympiastadion, Berlin, Germany	70,442
2015-16,Real Madrid,1–1,Atlético Madrid,San Siro, Milan, Italy	71,942
2016-17,Real Madrid,4–1,Juventus,Millennium Stadium, Cardiff, Wales	65,842
2017-18,Real Madrid,3–1,Liverpool,NSC Olimpiyskiy Stadium, Kiev, Ukraine	61,561
2018-19,Liverpool,2–0,Tottenham Hotspur,Metropolitano Stadium, Madrid, Spain	63,272
