1971-72,Tottenham Hotspur,2–1 1-1,Wolverhampton Wanderers,England,Molineux, Wolverhampton, England	45,000
#1–1	White Hart Lane, London, England	54,000
1972-73,Liverpool,3–0,Borussia Mönchengladbach,West Germany,Anfield, Liverpool, England	41,169
#0–2	Bökelbergstadion, Mönchengladbach, West Germany	35,000
1973-74,Feyenoord,2–2 2-0,Tottenham Hotspur,England,White Hart Lane, London, England	46,281
#2–0	De Kuip, Rotterdam, Netherlands	59,000
1974-75,Borussia Mönchengladbach,0–0 5-1,Twente,Netherlands	Rheinstadion, Düsseldorf, West Germany	42,000
#5–1	Diekman Stadion, Enschede, Netherlands	21,000
1975-76,Liverpool,3–2	1-1,Club Brugge,Belgium,Anfield, Liverpool, England	56,000
#1–1	Olympiastadion, Bruges, Belgium	32,000
1976-77,Juventus,1–0 1-2,Athletic Bilbao,Spain,Stadio Comunale, Turin, Italy	75,000
#1–2	San Mamés, Bilbao, Spain	43,000
1977-78,PSV,Eindhoven,0–0 3-0,Bastia,France,Stade Armand Cesari, Bastia, France	15,000
#3–0	Philips Stadion, Eindhoven, Netherlands	27,000
1978-79,Borussia Mönchengladbach,1–1 1-0,Red Star Belgrade,Yugoslavia	Stadion Crvena Zvezda, Belgrade, SFR Yugoslavia	87,000
#1–0	Rheinstadion, Düsseldorf, West Germany	45,000
1979-80,Eintracht Frankfurt,2–3 1-0,Borussia Mönchengladbach,West Germany	Bökelbergstadion, Mönchengladbach, West Germany	25,000
#1–0	Waldstadion, Frankfurt, West Germany	59,000
1980-81,Ipswich Town,3–0 2-4,AZ,Netherlands	Portman Road, Ipswich, England	27,532
#2–4	Olympisch Stadion, Amsterdam, Netherlands	28,500
1981-82,IFK Göteborg,1–0 3-0,Hamburger SV,West Germany	Nya Ullevi, Gothenburg, Sweden	42,548
# 3–0	Volksparkstadion, Hamburg, West Germany	60,000
1982-83,Anderlecht,1–0 1-1,Benfica,Portugal	Heysel Stadium, Brussels, Belgium	55,000
#1–1	Estádio da Luz, Lisbon, Portugal	80,000
1983-84,Tottenham Hotspur,1–1 1-1,Anderlecht,Belgium	Constant Vanden Stock, Brussels, Belgium	40,000
# 1–1*	White Hart Lane, London, England	46,205
1984-85,Real Madrid,3–0	0-1,Videoton,Hungary	Sóstói Stadion, Székesfehérvár, Hungary	30,000
# 0–1	Santiago Bernabéu Stadium, Madrid, Spain	90,000
1985-86,Real Madrid,5–1 0-2,FC Köln,West Germany	Santiago Bernabéu Stadium, Madrid, Spain	85,000
# 0–2	Olympiastadion, Berlin, West Germany	15,000
1986-87,IFK Göteborg,1–0 1-1,Dundee United, Scotland	Nya Ullevi, Gothenburg, Sweden	50,023
# 1–1	Tannadice Park, Dundee, Scotland	20,911
1987-88,Bayer Leverkusen,0–3 3-0,Espanyol,Spain	Estadi de Sarrià, Barcelona, Spain	42,000
