#Central
# Aylesbury derby,Aylesbury,Aylesbury United
Bedford derby,Bedford,Bedford Town
# Buckinghamshire derby,Milton Keynes Dons,Wycombe Wanderers
# Cambridge derby,Cambridge City,Cambridge United
# Cambridgeshire derby,Cambridge City,Histon
# Cambridgeshire derby,Cambridge United,Histon
# Cambridgeshire derby,Cambridge United,Peterborough United
# Dunstable derby,AFC Dunstable,Dunstable Town
# Luton-Stevenage rivalry,Luton Town,Stevenage
M1 derby,Luton Town,Watford
Milton Keynes-Northampton rivalry,Milton Keynes Dons,Northampton Town
# Milton Keynes-Peterborough rivalry,Milton Keynes Dons,Peterborough United
# Nene derby,Northampton Town,Peterborough United
#Northamptonshire derby,Kettering Town,Rushden & Diamonds
#Northamptonshire derby,Kettering Town,Corby Town
#Northamptonshire derby,Kettering Town,Northampton Town
#Northamptonshire derby,Rushden & Diamonds,Corby Town
#Northamptonshire derby,Rushden & Diamonds,Northampton Town
#
#East England
Canvey Island derby,Canvey Island,Concord Rangers
East Anglian derby,Ipswich Town,Norwich City
#Old Farm derby,Ipswich Town,Norwich City
# Essex derby,Colchester United,Southend United
# M11 derby,Bishop's Stortford,Harlow Town
# Maldon derby,Maldon & Tiptree,Heybridge Swifts
# Suffolk derby,Needham Market,Lowestoft Town
#
#London
East London derby,Leyton Orient,West Ham United,Dagenham & Redbridge
North London derby,Arsenal,Tottenham Hotspur
Arsenal-Chelsea,Arsenal,Chelsea
Chelsea-Tottenham rivalry,Chelsea,Tottenham Hotspur
South London derby,Charlton Athletic,Crystal Palace,Millwall,AFC Wimbledon
West London derby,Brentford,Chelsea,Fulham,Queens Park Rangers
Dockers derby,Millwall,West Ham United
#Dulwich-Tooting derby,Dulwich Hamlet,Tooting & Mitcham
#Enfield derby,Enfield 1893,Enfield Town
#Sutton derby,Carshalton Athletic,Sutton United
#
#Midlands
# A5 derby,Nuneaton Town,Tamworth
# A500 derby,Crewe Alexandra,Port Vale
Black Country derby,West Bromwich Albion,Wolverhampton Wanderers
# Buxton-Leek rivalry,Buxton,Leek Town
Derby-Leicester rivalry,Derby County,Leicester City
Derby-Nottingham Forest rivalry,Derby County,Nottingham Forest
Leicester-Nottingham Forest rivalry,Leicester City,Nottingham Forest
Derbyshire derby,Chesterfield,Derby County
# Hereford-Kidderminster rivalry,Hereford,Kidderminster Harriers
Lincolnshire derby,Boston United,Gainsborough Trinity,Grimsby Town,Lincoln City,Scunthorpe United
Nottingham derby,Nottingham Forest,Notts County
Nottinghamshire derby,Mansfield Town,Notts County
# Number Nine derby,Halesowen Town,Stourbridge
M69 derby,Coventry City,Leicester City
# Miners strike derby,Chesterfield,Mansfield Town
Potteries derby,Port Vale,Stoke City
Second City derby,Aston Villa,Birmingham City
# Shrewsbury-Walsall rivalry,Shrewsbury Town,Walsall
Shrewsbury-Wolves rivalry,Shrewsbury Town,Wolverhampton Wanderers
# Shropshire derby,Shrewsbury Town,A.F.C. Telford United
# Staffordshire derby,Hednesford Town,Stafford Rangers
# Staffordshire derby,Port Vale,Walsall
Staffordshire derby,Stoke City,Wolverhampton Wanderers
West Midlands derby,Aston Villa,West Bromwich Albion
#
#North
A62 derby,Huddersfield Town,Oldham Athletic
A627 derby,Oldham Athletic,Rochdale
# Accrington-Morecambe rivalry,Accrington Stanley,Morecambe
# Altrincham-Macclesfield rivalry,Altrincham,Macclesfield Town
# Ashton derby,Ashton United,Curzon Ashton
# Billingham derby,Billingham Synthonia,Billingham Town
Blackburn-Preston rivalry,Blackburn Rovers,Preston North End
Bolton-Oldham rivalry,Bolton Wanderers,Oldham Athletic
Bolton–Wigan rivalry,Bolton Wanderers,Wigan Athletic
Burnley-Preston rivalry,Burnley,Preston North End
# Cheshire derby,Chester,Crewe Alexandra,Macclesfield Town,Northwich Victoria
# Chester-Tranmere rivalry,Chester,Tranmere Rovers
Doncaster-Rotherham rivalry,Doncaster Rovers,otherham United
East Lancashire derby,Burnley,Blackburn Rovers
# Fleetwood-Morecambe rivalry,Fleetwood Town,Morecambe
# Fleetwood-Southport rivalry,Fleetwood Town,Southport
Fylde Coast derby,Blackpool,Fleetwood Town
Humber derby,Grimsby Town,Hull City,Scunthorpe United
Liverpool-Manchester City rivalry,Liverpool,Manchester City
Manchester derby,Manchester City,Manchester United
Merseyside derby,Everton,Liverpool,Tranmere Rovers,Southport
North West derby,Liverpool,Manchester United
Northwich derby,1874 Northwich,Northwich Victoria,Witton Albion
Rules derby,Hallam,Sheffield; the oldest derby in football
Steel City derby,Sheffield United,Sheffield Wednesday
# Tameside derby,Hyde United,Stalybridge Celtic
Tees-Wear derby,Middlesbrough,Sunderland
Tranmere-Wrexham rivalry,Tranmere Rovers,Wrexham
Tyne-Tees derby,Newcastle United,Middlesbrough
Tyne-Wear derby,Newcastle United,Sunderland
War of the Roses,Leeds United,Manchester United
West Lancashire derby,Blackpool,Preston North End
West Yorkshire derby,Bradford City,F.C. Halifax Town,Huddersfield Town,Leeds United
Wool City derby,Bradford City,Bradford Park Avenue
#
#South
A259 derby,Peacehaven & Telscombe,Newhaven
A27 derby,Bognor Regis Town,Whitehawk
Aldershot-Reading rivalry,Aldershot Town,Reading
A420 derby,Oxford United,Swindon Town
# Aldershot–Woking rivalry,Aldershot Town,Woking
Bristol derby,Bristol City,Bristol Rovers
# Cathedral City derby,Salisbury,Winchester City
# Devon derby,Exeter City,Plymouth Argyle,Torquay United
Dockyard derby,Plymouth Argyle,Portsmouth
# Dorking derby,Dorking,Dorking Wanderers
# Dorset derby,Dorchester Town,Poole Town,Weymouth,Wimborne Town
# Eastbourne derby,Eastbourne Borough,Eastbourne Town,Eastbourne United,Langney Wanderers
# East Sussex derby,Eastbourne Borough,Lewes
Gloucestershire derby,Cheltenham Town,Forest Green Rovers,Gloucester City
# Kent derby,Gillingham,Maidstone United
M4 derby,Reading,Swindon Town
Mid Hampshire derby,Totton,Winchester City
New Forest derby,AFC Bournemouth,Southampton
Rushmoor derby,Aldershot Town,Farnborough
# Seaside derby,Bognor Regis Town,Worthing
South Coast derby,Portsmouth,Southampton
# South Hampshire derby,Gosport Borough,Havant & Waterlooville
# South Midlands derby,Gloucester City,Worcester City
South Wales derby,Cardiff City,Swansea City
Thames Valley derby,Oxford United,Reading
# Thanet derby,Margate,Ramsgate
# Walton derby,Walton Casuals,Walton & Hersham
West Country derby,Bristol City,Bristol Rovers,Cheltenham Town,Exeter City,Forest Green Rovers,Plymouth Argyle,Swindon Town,Torquay United,Yeovil Town
#
#Inter-regional
# A13 derby,Leyton Orient,Southend United
A61 derby,Chesterfield,Sheffield Wednesday
A61 derby,Chesterfield,Sheffield United
Arsenal–Manchester United rivalry,Arsenal,Manchester United
Cardiff City–Leeds United rivalry,Cardiff City,Leeds United
Chelsea–Liverpool rivalry,Chelsea,Liverpool
Chelsea–Leeds rivalry,Chelsea,Leeds United
# Cambridge–Colchester rivalry,Cambridge United,Colchester United
# Cross-border derby,Chester,Wrexham
# Dons derby,AFC Wimbledon,Milton Keynes Dons
# Gillingham–Southend rivalry,Gillingham,Southend United
Leeds United–Millwall rivalry,Leeds United,Millwall
M23 derby,Brighton and Hove Albion,Crystal Palace
Northampton-Oxford rivalry,Northampton Town,Oxford United
Oxford-Wycombe rivalry,Oxford United,Wycombe Wanderers
#Severnside derby,Bristol City vs. Cardiff City but may also refer to Bristol Rovers or Newport County[206][207]
Shrewsbury-Wrexham rivalry,Shrewsbury Town,Wrexham
